dataset_id	gsm_id	sample_title	predicted_subtype	assignment_score	runner_up_subtype	runner_up_score	assignment_margin	assignment_margin_rank	assignment_entropy	score_emt	score_msi	score_mss_tp53_minus	score_mss_tp53_plus	shared_gene_count
GSE84437	GSM2235886	Y3551T	MSI	0.101598	MSS/TP53-	0.0166774	0.084921	medium	0.998036	-0.0500988	0.101598	0.0166774	-0.0922201	15335
GSE84437	GSM2235887	Y3554T	MSS/TP53-	0.18378	MSS/TP53+	-0.0420518	0.225832	high	0.995945	-0.0640021	-0.0490079	0.18378	-0.0420518	15335
GSE84437	GSM2235888	Y3555T	MSS/TP53+	0.24306	MSS/TP53-	0.119024	0.124036	medium	0.991728	-0.0980802	-0.114722	0.119024	0.24306	15335
GSE84437	GSM2235889	Y3558T	MSS/TP53-	0.184345	MSS/TP53+	0.106917	0.0774281	medium	0.994514	-0.114127	-0.071453	0.184345	0.106917	15335
GSE84437	GSM2235899	Y3420T	MSS/TP53+	0.0646079	MSS/TP53-	0.0135587	0.0510493	low	0.999275	0.0110031	-0.0619775	0.0135587	0.0646079	15335
GSE84437	GSM2235900	Y3426T	MSS/TP53+	0.171172	MSI	0.0648673	0.106305	medium	0.995732	-0.0605331	0.0648673	-0.103554	0.171172	15335
GSE84437	GSM2235901	Y3427T	MSS/TP53-	0.18659	MSS/TP53+	-0.0154488	0.202039	high	0.995758	-0.0513743	-0.082385	0.18659	-0.0154488	15335
GSE84437	GSM2235902	Y3428T	EMT	0.556797	MSI	-0.275374	0.832171	high	0.939784	0.556797	-0.275374	-0.304707	-0.297727	15335
GSE84437	GSM2235903	Y3561T	MSS/TP53-	0.17462	MSI	0.0225561	0.152064	medium	0.995675	-0.1322	0.0225561	0.17462	-0.00390422	15335
GSE84437	GSM2235904	Y3566T	MSS/TP53-	0.118275	EMT	0.00739371	0.110882	medium	0.997862	0.00739371	-0.0911636	0.118275	-0.0295308	15335
GSE84437	GSM2235905	Y3569T	EMT	0.345838	MSS/TP53+	-0.0978474	0.443686	high	0.977125	0.345838	-0.122755	-0.306604	-0.0978474	15335
